parent_id,full_name,email,gender,role_in_church,department_in_church,phone_number,secondary_phone_number,address
281,Robert Brown,robert.brown@churchmail.org,Male,Choir Member,Finance,17834698185,,225 Cedar Ln
282,John Smith,john.smith@outlook.com,Female,Deacon,Choir,17872327732,,261 Birch Rd
283,James Smith,james.smith@gmail.com,Male,Usher,Evangelism,13104458890,11013949984,804 Elm St
284,James Jones,james.jones@yahoo.com,Male,Pastor,Administration,14885229711,16604564345,823 Oak Ave
285,Barbara Williams,barbara.williams@churchmail.org,Female,Member,Evangelism,18133622026,,764 Elm St
286,Barbara Rodriguez,barbara.rodriguez@churchmail.org,Female,Volunteer,Sunday School,13158664803,,586 Oak Ave
287,Linda Miller,linda.miller@churchmail.org,Male,Deacon,Choir,11877278325,,418 Pine Rd
288,William Miller,william.miller@churchmail.org,Female,Choir Member,Youth,13868726522,,598 Elm St
289,Linda Rodriguez,,Male,Choir Member,Youth,17006465608,16089734288,498 Elm St
290,Alice Rodriguez,alice.rodriguez@yahoo.com,Female,Deacon,Evangelism,16421646501,,382 Pine Rd
291,Robert Brown,robert.brown@yahoo.com,Female,Choir Member,Evangelism,16379296721,14776131974,934 Birch Rd
292,Linda Rodriguez,linda.rodriguez@yahoo.com,Female,Choir Member,Youth,18519690197,12393698474,714 Oak Ave
293,James Davis,james.davis@gmail.com,Male,Member,Youth,11000576798,,232 Pine Rd
294,Linda Williams,linda.williams@outlook.com,Male,Pastor,Youth,17766091300,16947672261,544 Maple St
295,Barbara Martinez,barbara.martinez@gmail.com,Male,Member,Finance,12090364802,,378 Maple St
296,Michael Rodriguez,michael.rodriguez@churchmail.org,Male,Deacon,Evangelism,17533969013,19954102237,969 Elm St
297,Mary Rodriguez,mary.rodriguez@yahoo.com,Male,Deacon,Sunday School,16891676552,,88 Elm St
298,Barbara Williams,barbara.williams@outlook.com,Female,Usher,Administration,17005695637,,721 Elm St
299,John Rodriguez,john.rodriguez@churchmail.org,Male,Choir Member,Sunday School,15384916695,,271 Elm St
300,James Williams,james.williams@yahoo.com,Male,Pastor,Finance,16455869309,,714 Cedar Ln
